"station1","station2","connected"
"La Défense - Grande Arche","La Défense - Grande Arche",FALSE
"Esplanade de la Défense","La Défense - Grande Arche",TRUE
"Pont de Neuilly","La Défense - Grande Arche",FALSE
"Les Sablons","La Défense - Grande Arche",FALSE
"Porte Maillot","La Défense - Grande Arche",FALSE
"Argentine","La Défense - Grande Arche",FALSE
"Charles de Gaulle - Étoile","La Défense - Grande Arche",FALSE
"George V","La Défense - Grande Arche",FALSE
"Franklin D. Roosevelt","La Défense - Grande Arche",FALSE
"Champs-Élysées - Clemenceau","La Défense - Grande Arche",FALSE
"Concorde","La Défense - Grande Arche",FALSE
"Tuileries","La Défense - Grande Arche",FALSE
"Palais Royal - Musée du Louvre","La Défense - Grande Arche",FALSE
"Louvre - Rivoli","La Défense - Grande Arche",FALSE
"Châtelet","La Défense - Grande Arche",FALSE
"Hôtel de Ville","La Défense - Grande Arche",FALSE
"Saint-Paul","La Défense - Grande Arche",FALSE
"Bastille","La Défense - Grande Arche",FALSE
"Gare de Lyon","La Défense - Grande Arche",FALSE
"Reuilly - Diderot","La Défense - Grande Arche",FALSE
"Nation","La Défense - Grande Arche",FALSE
"Porte de Vincennes","La Défense - Grande Arche",FALSE
"Saint-Mandé","La Défense - Grande Arche",FALSE
"Bérault","La Défense - Grande Arche",FALSE
"Château de Vincennes","La Défense - Grande Arche",FALSE
"Porte Dauphine","La Défense - Grande Arche",FALSE
"Victor Hugo","La Défense - Grande Arche",FALSE
"Ternes","La Défense - Grande Arche",FALSE
"Courcelles","La Défense - Grande Arche",FALSE
"Monceau","La Défense - Grande Arche",FALSE
"Villiers","La Défense - Grande Arche",FALSE
"Rome","La Défense - Grande Arche",FALSE
"Place de Clichy","La Défense - Grande Arche",FALSE
"Blanche","La Défense - Grande Arche",FALSE
"Pigalle","La Défense - Grande Arche",FALSE
"Anvers","La Défense - Grande Arche",FALSE
"Barbès - Rochechouart","La Défense - Grande Arche",FALSE
"La Chapelle","La Défense - Grande Arche",FALSE
"Stalingrad","La Défense - Grande Arche",FALSE
"Jaurès","La Défense - Grande Arche",FALSE
"Colonel Fabien","La Défense - Grande Arche",FALSE
"Belleville","La Défense - Grande Arche",FALSE
"Couronnes","La Défense - Grande Arche",FALSE
"Ménilmontant","La Défense - Grande Arche",FALSE
"Rue Saint-Maur","La Défense - Grande Arche",FALSE
"Parmentier","La Défense - Grande Arche",FALSE
"Richard-Lenoir","La Défense - Grande Arche",FALSE
"Bréguet - Sabin","La Défense - Grande Arche",FALSE
"Chemin Vert","La Défense - Grande Arche",FALSE
"Saint-Ambroise","La Défense - Grande Arche",FALSE
"Voltaire","La Défense - Grande Arche",FALSE
"Charonne","La Défense - Grande Arche",FALSE
"Philippe Auguste","La Défense - Grande Arche",FALSE
"Alexandre Dumas","La Défense - Grande Arche",FALSE
"Avron","La Défense - Grande Arche",FALSE
"Pont de Levallois - Bécon","La Défense - Grande Arche",FALSE
"Anatole France","La Défense - Grande Arche",FALSE
"Louise Michel","La Défense - Grande Arche",FALSE
"Porte de Champerret","La Défense - Grande Arche",FALSE
"Pereire","La Défense - Grande Arche",FALSE
"Wagram","La Défense - Grande Arche",FALSE
"Malesherbes","La Défense - Grande Arche",FALSE
"Europe","La Défense - Grande Arche",FALSE
"Saint-Lazare","La Défense - Grande Arche",FALSE
"Havre - Caumartin","La Défense - Grande Arche",FALSE
"Opéra","La Défense - Grande Arche",FALSE
"Quatre Septembre","La Défense - Grande Arche",FALSE
"Bourse","La Défense - Grande Arche",FALSE
"Sentier","La Défense - Grande Arche",FALSE
"Réaumur - Sébastopol","La Défense - Grande Arche",FALSE
"Arts et Métiers","La Défense - Grande Arche",FALSE
"Temple","La Défense - Grande Arche",FALSE
"République","La Défense - Grande Arche",FALSE
"Père Lachaise","La Défense - Grande Arche",FALSE
"Gambetta","La Défense - Grande Arche",FALSE
"Porte de Bagnolet","La Défense - Grande Arche",FALSE
"Gallieni","La Défense - Grande Arche",FALSE
"Porte de Clignancourt","La Défense - Grande Arche",FALSE
"Simplon","La Défense - Grande Arche",FALSE
"Marcadet - Poissonniers","La Défense - Grande Arche",FALSE
"Château Rouge","La Défense - Grande Arche",FALSE
"Gare du Nord","La Défense - Grande Arche",FALSE
"Gare de l'Est","La Défense - Grande Arche",FALSE
"Château d'Eau","La Défense - Grande Arche",FALSE
"Strasbourg - Saint-Denis","La Défense - Grande Arche",FALSE
"Étienne Marcel","La Défense - Grande Arche",FALSE
"Les Halles","La Défense - Grande Arche",FALSE
"Cité","La Défense - Grande Arche",FALSE
"Saint-Michel","La Défense - Grande Arche",FALSE
"Odéon","La Défense - Grande Arche",FALSE
"Saint-Germain-des-Prés","La Défense - Grande Arche",FALSE
"Saint-Sulpice","La Défense - Grande Arche",FALSE
"Saint-Placide","La Défense - Grande Arche",FALSE
"Montparnasse - Bienvenüe","La Défense - Grande Arche",FALSE
"Vavin","La Défense - Grande Arche",FALSE
"Raspail","La Défense - Grande Arche",FALSE
"Denfert-Rochereau","La Défense - Grande Arche",FALSE
"Mouton-Duvernet","La Défense - Grande Arche",FALSE
"Alésia","La Défense - Grande Arche",FALSE
"Porte d'Orléans","La Défense - Grande Arche",FALSE
"Mairie de Montrouge","La Défense - Grande Arche",FALSE
"Barbara","La Défense - Grande Arche",FALSE
"Bagneux - Lucie Aubrac","La Défense - Grande Arche",FALSE
"Bobigny - Pablo Picasso","La Défense - Grande Arche",FALSE
"Bobigny - Pantin - Raymond Queneau","La Défense - Grande Arche",FALSE
"Église de Pantin","La Défense - Grande Arche",FALSE
"Hoche","La Défense - Grande Arche",FALSE
"Porte de Pantin","La Défense - Grande Arche",FALSE
"Ourcq","La Défense - Grande Arche",FALSE
"Laumière","La Défense - Grande Arche",FALSE
"Jacques Bonsergent","La Défense - Grande Arche",FALSE
"Oberkampf","La Défense - Grande Arche",FALSE
"Quai de la Rapée","La Défense - Grande Arche",FALSE
"Gare d'Austerlitz","La Défense - Grande Arche",FALSE
"Saint-Marcel","La Défense - Grande Arche",FALSE
"Campo-Formio","La Défense - Grande Arche",FALSE
"Place d'Italie","La Défense - Grande Arche",FALSE
"Kléber","La Défense - Grande Arche",FALSE
"Boissière","La Défense - Grande Arche",FALSE
"Trocadéro","La Défense - Grande Arche",FALSE
"Passy","La Défense - Grande Arche",FALSE
"Bir-Hakeim","La Défense - Grande Arche",FALSE
"Dupleix","La Défense - Grande Arche",FALSE
"La Motte-Picquet - Grenelle","La Défense - Grande Arche",FALSE
"Cambronne","La Défense - Grande Arche",FALSE
"Sèvres - Lecourbe","La Défense - Grande Arche",FALSE
"Pasteur","La Défense - Grande Arche",FALSE
"Edgar Quinet","La Défense - Grande Arche",FALSE
"Saint-Jacques","La Défense - Grande Arche",FALSE
"Glacière","La Défense - Grande Arche",FALSE
"Corvisart","La Défense - Grande Arche",FALSE
"Nationale","La Défense - Grande Arche",FALSE
"Chevaleret","La Défense - Grande Arche",FALSE
"Quai de la Gare","La Défense - Grande Arche",FALSE
"Bercy","La Défense - Grande Arche",FALSE
"Dugommier","La Défense - Grande Arche",FALSE
"Daumesnil","La Défense - Grande Arche",FALSE
"Bel-Air","La Défense - Grande Arche",FALSE
"Picpus","La Défense - Grande Arche",FALSE
"La Courneuve - 8 Mai 1945","La Défense - Grande Arche",FALSE
"Fort d'Aubervilliers","La Défense - Grande Arche",FALSE
"Aubervilliers - Pantin - Quatre Chemins","La Défense - Grande Arche",FALSE
"Porte de la Villette","La Défense - Grande Arche",FALSE
"Corentin Cariou","La Défense - Grande Arche",FALSE
"Crimée","La Défense - Grande Arche",FALSE
"Riquet","La Défense - Grande Arche",FALSE
"Louis Blanc","La Défense - Grande Arche",FALSE
"Château-Landon","La Défense - Grande Arche",FALSE
"Poissonnière","La Défense - Grande Arche",FALSE
"Cadet","La Défense - Grande Arche",FALSE
"Le Peletier","La Défense - Grande Arche",FALSE
"Chaussée d'Antin - La Fayette","La Défense - Grande Arche",FALSE
"Pyramides","La Défense - Grande Arche",FALSE
"Pont Neuf","La Défense - Grande Arche",FALSE
"Pont Marie","La Défense - Grande Arche",FALSE
"Sully - Morland","La Défense - Grande Arche",FALSE
"Jussieu","La Défense - Grande Arche",FALSE
"Place Monge","La Défense - Grande Arche",FALSE
"Censier - Daubenton","La Défense - Grande Arche",FALSE
"Les Gobelins","La Défense - Grande Arche",FALSE
"Tolbiac","La Défense - Grande Arche",FALSE
"Maison Blanche","La Défense - Grande Arche",FALSE
"Porte d'Italie","La Défense - Grande Arche",FALSE
"Porte de Choisy","La Défense - Grande Arche",FALSE
"Porte d'Ivry","La Défense - Grande Arche",FALSE
"Pierre et Marie Curie","La Défense - Grande Arche",FALSE
"Mairie d'Ivry","La Défense - Grande Arche",FALSE
"Balard","La Défense - Grande Arche",FALSE
"Lourmel","La Défense - Grande Arche",FALSE
"Boucicaut","La Défense - Grande Arche",FALSE
"Félix Faure","La Défense - Grande Arche",FALSE
"Commerce","La Défense - Grande Arche",FALSE
"École Militaire","La Défense - Grande Arche",FALSE
"La Tour-Maubourg","La Défense - Grande Arche",FALSE
"Invalides","La Défense - Grande Arche",FALSE
"Madeleine","La Défense - Grande Arche",FALSE
"Richelieu - Drouot","La Défense - Grande Arche",FALSE
"Grands Boulevards","La Défense - Grande Arche",FALSE
"Bonne Nouvelle","La Défense - Grande Arche",FALSE
"Filles du Calvaire","La Défense - Grande Arche",FALSE
"Saint-Sébastien - Froissart","La Défense - Grande Arche",FALSE
"Ledru-Rollin","La Défense - Grande Arche",FALSE
"Faidherbe - Chaligny","La Défense - Grande Arche",FALSE
"Montgallet","La Défense - Grande Arche",FALSE
"Michel Bizot","La Défense - Grande Arche",FALSE
"Porte Dorée","La Défense - Grande Arche",FALSE
"Porte de Charenton","La Défense - Grande Arche",FALSE
"Liberté","La Défense - Grande Arche",FALSE
"Charenton - Écoles","La Défense - Grande Arche",FALSE
"École Vétérinaire de Maisons-Alfort","La Défense - Grande Arche",FALSE
"Maisons-Alfort - Stade","La Défense - Grande Arche",FALSE
"Maisons-Alfort - Les Juilliottes","La Défense - Grande Arche",FALSE
"Créteil - L'Échat","La Défense - Grande Arche",FALSE
"Créteil - Université","La Défense - Grande Arche",FALSE
"Créteil - Préfecture","La Défense - Grande Arche",FALSE
"Pont de Sèvres","La Défense - Grande Arche",FALSE
"Billancourt","La Défense - Grande Arche",FALSE
"Marcel Sembat","La Défense - Grande Arche",FALSE
"Porte de Saint-Cloud","La Défense - Grande Arche",FALSE
"Exelmans","La Défense - Grande Arche",FALSE
"Michel-Ange - Molitor","La Défense - Grande Arche",FALSE
"Michel-Ange - Auteuil","La Défense - Grande Arche",FALSE
"Jasmin","La Défense - Grande Arche",FALSE
"Ranelagh","La Défense - Grande Arche",FALSE
"La Muette","La Défense - Grande Arche",FALSE
"Rue de la Pompe","La Défense - Grande Arche",FALSE
"Iéna","La Défense - Grande Arche",FALSE
"Alma - Marceau","La Défense - Grande Arche",FALSE
"Saint-Philippe du Roule","La Défense - Grande Arche",FALSE
"Miromesnil","La Défense - Grande Arche",FALSE
"Saint-Augustin","La Défense - Grande Arche",FALSE
"Rue des Boulets","La Défense - Grande Arche",FALSE
"Buzenval","La Défense - Grande Arche",FALSE
"Maraîchers","La Défense - Grande Arche",FALSE
"Porte de Montreuil","La Défense - Grande Arche",FALSE
"Robespierre","La Défense - Grande Arche",FALSE
"Croix de Chavaux","La Défense - Grande Arche",FALSE
"Mairie de Montreuil","La Défense - Grande Arche",FALSE
"Boulogne - Pont de Saint-Cloud","La Défense - Grande Arche",FALSE
"Boulogne - Jean Jaurès","La Défense - Grande Arche",FALSE
"Chardon-Lagache","La Défense - Grande Arche",FALSE
"Église d'Auteuil","La Défense - Grande Arche",FALSE
"Mirabeau","La Défense - Grande Arche",FALSE
"Javel - André Citroën","La Défense - Grande Arche",FALSE
"Charles Michels","La Défense - Grande Arche",FALSE
"Avenue Émile Zola","La Défense - Grande Arche",FALSE
"Ségur","La Défense - Grande Arche",FALSE
"Duroc","La Défense - Grande Arche",FALSE
"Vaneau","La Défense - Grande Arche",FALSE
"Sèvres - Babylone","La Défense - Grande Arche",FALSE
"Mabillon","La Défense - Grande Arche",FALSE
"Cluny - La Sorbonne","La Défense - Grande Arche",FALSE
"Maubert - Mutualité","La Défense - Grande Arche",FALSE
"Cardinal Lemoine","La Défense - Grande Arche",FALSE
"Rambuteau","La Défense - Grande Arche",FALSE
"Goncourt","La Défense - Grande Arche",FALSE
"Pyrénées","La Défense - Grande Arche",FALSE
"Jourdain","La Défense - Grande Arche",FALSE
"Place des Fêtes","La Défense - Grande Arche",FALSE
"Télégraphe","La Défense - Grande Arche",FALSE
"Porte des Lilas","La Défense - Grande Arche",FALSE
"Mairie des Lilas","La Défense - Grande Arche",FALSE
"Serge Gainsbourg","La Défense - Grande Arche",FALSE
"Romainville - Carnot","La Défense - Grande Arche",FALSE
"Montreuil - Hôpital","La Défense - Grande Arche",FALSE
"La Dhuys","La Défense - Grande Arche",FALSE
"Coteaux - Beauclair","La Défense - Grande Arche",FALSE
"Rosny-Bois-Perrier","La Défense - Grande Arche",FALSE
"Aubervilliers - Front Populaire","La Défense - Grande Arche",FALSE
"Porte de la Chapelle","La Défense - Grande Arche",FALSE
"Marx Dormoy","La Défense - Grande Arche",FALSE
"Jules Joffrin","La Défense - Grande Arche",FALSE
"Lamarck - Caulaincourt","La Défense - Grande Arche",FALSE
"Abbesses","La Défense - Grande Arche",FALSE
"Saint-Georges","La Défense - Grande Arche",FALSE
"Notre-Dame-de-Lorette","La Défense - Grande Arche",FALSE
"Trinité - d'Estienne d'Orves","La Défense - Grande Arche",FALSE
"Assemblée Nationale","La Défense - Grande Arche",FALSE
"Solférino","La Défense - Grande Arche",FALSE
"Rue du Bac","La Défense - Grande Arche",FALSE
"Rennes","La Défense - Grande Arche",FALSE
"Notre-Dame-des-Champs","La Défense - Grande Arche",FALSE
"Falguière","La Défense - Grande Arche",FALSE
"Volontaires","La Défense - Grande Arche",FALSE
"Vaugirard","La Défense - Grande Arche",FALSE
"Convention","La Défense - Grande Arche",FALSE
"Porte de Versailles","La Défense - Grande Arche",FALSE
"Corentin Celton","La Défense - Grande Arche",FALSE
"Mairie d'Issy","La Défense - Grande Arche",FALSE
"Saint-Denis – Pleyel","La Défense - Grande Arche",FALSE
"Mairie de Saint-Ouen","La Défense - Grande Arche",FALSE
"Porte de Clichy","La Défense - Grande Arche",FALSE
"Pont Cardinet","La Défense - Grande Arche",FALSE
"Cour Saint-Émilion","La Défense - Grande Arche",FALSE
"Bibliothèque François Mitterrand","La Défense - Grande Arche",FALSE
"Olympiades","La Défense - Grande Arche",FALSE
" Hôpital Bicêtre","La Défense - Grande Arche",FALSE
"Villejuif – Gustave Roussy","La Défense - Grande Arche",FALSE
"L'Haÿ-les-Roses","La Défense - Grande Arche",FALSE
"Chevilly-Larue","La Défense - Grande Arche",FALSE
"Thiais-Orly","La Défense - Grande Arche",FALSE
"Aéroport d'Orly","La Défense - Grande Arche",FALSE
"Saint-Fargeau","La Défense - Grande Arche",FALSE
"Pelleport","La Défense - Grande Arche",FALSE
"Bolivar","La Défense - Grande Arche",FALSE
"Buttes Chaumont","La Défense - Grande Arche",FALSE
"Botzaris","La Défense - Grande Arche",FALSE
"Pré Saint-Gervais","La Défense - Grande Arche",FALSE
"Danube","La Défense - Grande Arche",FALSE
"La Fourche","La Défense - Grande Arche",FALSE
"Liège","La Défense - Grande Arche",FALSE
"Champs-Élysées – Clemenceau","La Défense - Grande Arche",FALSE
"Varenne","La Défense - Grande Arche",FALSE
"Saint-François-Xavier","La Défense - Grande Arche",FALSE
"Montparnasse – Bienvenüe","La Défense - Grande Arche",FALSE
"Gaîté","La Défense - Grande Arche",FALSE
"Pernety","La Défense - Grande Arche",FALSE
"Plaisance","La Défense - Grande Arche",FALSE
"Porte de Vanves","La Défense - Grande Arche",FALSE
"Malakoff – Plateau de Vanves","La Défense - Grande Arche",FALSE
"Malakoff – Rue Étienne Dolet","La Défense - Grande Arche",FALSE
"Châtillon – Montrouge","La Défense - Grande Arche",FALSE
"Brochant","La Défense - Grande Arche",FALSE
"Mairie de Clichy","La Défense - Grande Arche",FALSE
"Gabriel Péri","La Défense - Grande Arche",FALSE
"Les Agnettes","La Défense - Grande Arche",FALSE
"Les Courtilles","La Défense - Grande Arche",FALSE
"Guy Môquet","La Défense - Grande Arche",FALSE
"Porte de Saint-Ouen","La Défense - Grande Arche",FALSE
"Garibaldi","La Défense - Grande Arche",FALSE
"Carrefour Pleyel","La Défense - Grande Arche",FALSE
"Saint-Denis – Porte de Paris","La Défense - Grande Arche",FALSE
"Basilique de Saint-Denis","La Défense - Grande Arche",FALSE
"Saint-Denis – Université","La Défense - Grande Arche",FALSE
"La Défense - Grande Arche","Esplanade de la Défense",TRUE
"Esplanade de la Défense","Esplanade de la Défense",FALSE
"Pont de Neuilly","Esplanade de la Défense",TRUE
"Les Sablons","Esplanade de la Défense",FALSE
"Porte Maillot","Esplanade de la Défense",FALSE
"Argentine","Esplanade de la Défense",FALSE
"Charles de Gaulle - Étoile","Esplanade de la Défense",FALSE
"George V","Esplanade de la Défense",FALSE
"Franklin D. Roosevelt","Esplanade de la Défense",FALSE
"Champs-Élysées - Clemenceau","Esplanade de la Défense",FALSE
"Concorde","Esplanade de la Défense",FALSE
"Tuileries","Esplanade de la Défense",FALSE
"Palais Royal - Musée du Louvre","Esplanade de la Défense",FALSE
"Louvre - Rivoli","Esplanade de la Défense",FALSE
"Châtelet","Esplanade de la Défense",FALSE
"Hôtel de Ville","Esplanade de la Défense",FALSE
"Saint-Paul","Esplanade de la Défense",FALSE
"Bastille","Esplanade de la Défense",FALSE
"Gare de Lyon","Esplanade de la Défense",FALSE
"Reuilly - Diderot","Esplanade de la Défense",FALSE
"Nation","Esplanade de la Défense",FALSE
"Porte de Vincennes","Esplanade de la Défense",FALSE
"Saint-Mandé","Esplanade de la Défense",FALSE
"Bérault","Esplanade de la Défense",FALSE
"Château de Vincennes","Esplanade de la Défense",FALSE
"Porte Dauphine","Esplanade de la Défense",FALSE
"Victor Hugo","Esplanade de la Défense",FALSE
"Ternes","Esplanade de la Défense",FALSE
"Courcelles","Esplanade de la Défense",FALSE
"Monceau","Esplanade de la Défense",FALSE
"Villiers","Esplanade de la Défense",FALSE
"Rome","Esplanade de la Défense",FALSE
"Place de Clichy","Esplanade de la Défense",FALSE
"Blanche","Esplanade de la Défense",FALSE
"Pigalle","Esplanade de la Défense",FALSE
"Anvers","Esplanade de la Défense",FALSE
"Barbès - Rochechouart","Esplanade de la Défense",FALSE
"La Chapelle","Esplanade de la Défense",FALSE
"Stalingrad","Esplanade de la Défense",FALSE
"Jaurès","Esplanade de la Défense",FALSE
"Colonel Fabien","Esplanade de la Défense",FALSE
"Belleville","Esplanade de la Défense",FALSE
"Couronnes","Esplanade de la Défense",FALSE
"Ménilmontant","Esplanade de la Défense",FALSE
"Rue Saint-Maur","Esplanade de la Défense",FALSE
"Parmentier","Esplanade de la Défense",FALSE
"Richard-Lenoir","Esplanade de la Défense",FALSE
"Bréguet - Sabin","Esplanade de la Défense",FALSE
"Chemin Vert","Esplanade de la Défense",FALSE
"Saint-Ambroise","Esplanade de la Défense",FALSE
"Voltaire","Esplanade de la Défense",FALSE
"Charonne","Esplanade de la Défense",FALSE
"Philippe Auguste","Esplanade de la Défense",FALSE
"Alexandre Dumas","Esplanade de la Défense",FALSE
"Avron","Esplanade de la Défense",FALSE
"Pont de Levallois - Bécon","Esplanade de la Défense",FALSE
"Anatole France","Esplanade de la Défense",FALSE
"Louise Michel","Esplanade de la Défense",FALSE
"Porte de Champerret","Esplanade de la Défense",FALSE
"Pereire","Esplanade de la Défense",FALSE
"Wagram","Esplanade de la Défense",FALSE
"Malesherbes","Esplanade de la Défense",FALSE
"Europe","Esplanade de la Défense",FALSE
"Saint-Lazare","Esplanade de la Défense",FALSE
"Havre - Caumartin","Esplanade de la Défense",FALSE
"Opéra","Esplanade de la Défense",FALSE
"Quatre Septembre","Esplanade de la Défense",FALSE
"Bourse","Esplanade de la Défense",FALSE
"Sentier","Esplanade de la Défense",FALSE
"Réaumur - Sébastopol","Esplanade de la Défense",FALSE
"Arts et Métiers","Esplanade de la Défense",FALSE
"Temple","Esplanade de la Défense",FALSE
"République","Esplanade de la Défense",FALSE
"Père Lachaise","Esplanade de la Défense",FALSE
"Gambetta","Esplanade de la Défense",FALSE
"Porte de Bagnolet","Esplanade de la Défense",FALSE
"Gallieni","Esplanade de la Défense",FALSE
"Porte de Clignancourt","Esplanade de la Défense",FALSE
"Simplon","Esplanade de la Défense",FALSE
"Marcadet - Poissonniers","Esplanade de la Défense",FALSE
"Château Rouge","Esplanade de la Défense",FALSE
"Gare du Nord","Esplanade de la Défense",FALSE
"Gare de l'Est","Esplanade de la Défense",FALSE
"Château d'Eau","Esplanade de la Défense",FALSE
"Strasbourg - Saint-Denis","Esplanade de la Défense",FALSE
"Étienne Marcel","Esplanade de la Défense",FALSE
"Les Halles","Esplanade de la Défense",FALSE
"Cité","Esplanade de la Défense",FALSE
"Saint-Michel","Esplanade de la Défense",FALSE
"Odéon","Esplanade de la Défense",FALSE
"Saint-Germain-des-Prés","Esplanade de la Défense",FALSE
"Saint-Sulpice","Esplanade de la Défense",FALSE
"Saint-Placide","Esplanade de la Défense",FALSE
"Montparnasse - Bienvenüe","Esplanade de la Défense",FALSE
"Vavin","Esplanade de la Défense",FALSE
"Raspail","Esplanade de la Défense",FALSE
"Denfert-Rochereau","Esplanade de la Défense",FALSE
"Mouton-Duvernet","Esplanade de la Défense",FALSE
"Alésia","Esplanade de la Défense",FALSE
"Porte d'Orléans","Esplanade de la Défense",FALSE
"Mairie de Montrouge","Esplanade de la Défense",FALSE
"Barbara","Esplanade de la Défense",FALSE
"Bagneux - Lucie Aubrac","Esplanade de la Défense",FALSE
"Bobigny - Pablo Picasso","Esplanade de la Défense",FALSE
"Bobigny - Pantin - Raymond Queneau","Esplanade de la Défense",FALSE
"Église de Pantin","Esplanade de la Défense",FALSE
"Hoche","Esplanade de la Défense",FALSE
"Porte de Pantin","Esplanade de la Défense",FALSE
"Ourcq","Esplanade de la Défense",FALSE
"Laumière","Esplanade de la Défense",FALSE
"Jacques Bonsergent","Esplanade de la Défense",FALSE
"Oberkampf","Esplanade de la Défense",FALSE
"Quai de la Rapée","Esplanade de la Défense",FALSE
"Gare d'Austerlitz","Esplanade de la Défense",FALSE
"Saint-Marcel","Esplanade de la Défense",FALSE
"Campo-Formio","Esplanade de la Défense",FALSE
"Place d'Italie","Esplanade de la Défense",FALSE
"Kléber","Esplanade de la Défense",FALSE
"Boissière","Esplanade de la Défense",FALSE
"Trocadéro","Esplanade de la Défense",FALSE
"Passy","Esplanade de la Défense",FALSE
"Bir-Hakeim","Esplanade de la Défense",FALSE
"Dupleix","Esplanade de la Défense",FALSE
"La Motte-Picquet - Grenelle","Esplanade de la Défense",FALSE
"Cambronne","Esplanade de la Défense",FALSE
"Sèvres - Lecourbe","Esplanade de la Défense",FALSE
"Pasteur","Esplanade de la Défense",FALSE
"Edgar Quinet","Esplanade de la Défense",FALSE
"Saint-Jacques","Esplanade de la Défense",FALSE
"Glacière","Esplanade de la Défense",FALSE
"Corvisart","Esplanade de la Défense",FALSE
"Nationale","Esplanade de la Défense",FALSE
"Chevaleret","Esplanade de la Défense",FALSE
"Quai de la Gare","Esplanade de la Défense",FALSE
"Bercy","Esplanade de la Défense",FALSE
"Dugommier","Esplanade de la Défense",FALSE
"Daumesnil","Esplanade de la Défense",FALSE
"Bel-Air","Esplanade de la Défense",FALSE
"Picpus","Esplanade de la Défense",FALSE
"La Courneuve - 8 Mai 1945","Esplanade de la Défense",FALSE
"Fort d'Aubervilliers","Esplanade de la Défense",FALSE
"Aubervilliers - Pantin - Quatre Chemins","Esplanade de la Défense",FALSE
"Porte de la Villette","Esplanade de la Défense",FALSE
"Corentin Cariou","Esplanade de la Défense",FALSE
"Crimée","Esplanade de la Défense",FALSE
"Riquet","Esplanade de la Défense",FALSE
"Louis Blanc","Esplanade de la Défense",FALSE
"Château-Landon","Esplanade de la Défense",FALSE
"Poissonnière","Esplanade de la Défense",FALSE
"Cadet","Esplanade de la Défense",FALSE
"Le Peletier","Esplanade de la Défense",FALSE
"Chaussée d'Antin - La Fayette","Esplanade de la Défense",FALSE
"Pyramides","Esplanade de la Défense",FALSE
"Pont Neuf","Esplanade de la Défense",FALSE
"Pont Marie","Esplanade de la Défense",FALSE
"Sully - Morland","Esplanade de la Défense",FALSE
"Jussieu","Esplanade de la Défense",FALSE
"Place Monge","Esplanade de la Défense",FALSE
"Censier - Daubenton","Esplanade de la Défense",FALSE
"Les Gobelins","Esplanade de la Défense",FALSE
"Tolbiac","Esplanade de la Défense",FALSE
"Maison Blanche","Esplanade de la Défense",FALSE
"Porte d'Italie","Esplanade de la Défense",FALSE
"Porte de Choisy","Esplanade de la Défense",FALSE
"Porte d'Ivry","Esplanade de la Défense",FALSE
"Pierre et Marie Curie","Esplanade de la Défense",FALSE
"Mairie d'Ivry","Esplanade de la Défense",FALSE
"Balard","Esplanade de la Défense",FALSE
"Lourmel","Esplanade de la Défense",FALSE
"Boucicaut","Esplanade de la Défense",FALSE
"Félix Faure","Esplanade de la Défense",FALSE
"Commerce","Esplanade de la Défense",FALSE
"École Militaire","Esplanade de la Défense",FALSE
"La Tour-Maubourg","Esplanade de la Défense",FALSE
"Invalides","Esplanade de la Défense",FALSE
"Madeleine","Esplanade de la Défense",FALSE
"Richelieu - Drouot","Esplanade de la Défense",FALSE
"Grands Boulevards","Esplanade de la Défense",FALSE
"Bonne Nouvelle","Esplanade de la Défense",FALSE
"Filles du Calvaire","Esplanade de la Défense",FALSE
"Saint-Sébastien - Froissart","Esplanade de la Défense",FALSE
"Ledru-Rollin","Esplanade de la Défense",FALSE
"Faidherbe - Chaligny","Esplanade de la Défense",FALSE
"Montgallet","Esplanade de la Défense",FALSE
"Michel Bizot","Esplanade de la Défense",FALSE
"Porte Dorée","Esplanade de la Défense",FALSE
"Porte de Charenton","Esplanade de la Défense",FALSE
"Liberté","Esplanade de la Défense",FALSE
"Charenton - Écoles","Esplanade de la Défense",FALSE
"École Vétérinaire de Maisons-Alfort","Esplanade de la Défense",FALSE
"Maisons-Alfort - Stade","Esplanade de la Défense",FALSE
"Maisons-Alfort - Les Juilliottes","Esplanade de la Défense",FALSE
"Créteil - L'Échat","Esplanade de la Défense",FALSE
"Créteil - Université","Esplanade de la Défense",FALSE
"Créteil - Préfecture","Esplanade de la Défense",FALSE
"Pont de Sèvres","Esplanade de la Défense",FALSE
"Billancourt","Esplanade de la Défense",FALSE
"Marcel Sembat","Esplanade de la Défense",FALSE
"Porte de Saint-Cloud","Esplanade de la Défense",FALSE
"Exelmans","Esplanade de la Défense",FALSE
"Michel-Ange - Molitor","Esplanade de la Défense",FALSE
"Michel-Ange - Auteuil","Esplanade de la Défense",FALSE
"Jasmin","Esplanade de la Défense",FALSE
"Ranelagh","Esplanade de la Défense",FALSE
"La Muette","Esplanade de la Défense",FALSE
"Rue de la Pompe","Esplanade de la Défense",FALSE
"Iéna","Esplanade de la Défense",FALSE
"Alma - Marceau","Esplanade de la Défense",FALSE
"Saint-Philippe du Roule","Esplanade de la Défense",FALSE
"Miromesnil","Esplanade de la Défense",FALSE
"Saint-Augustin","Esplanade de la Défense",FALSE
"Rue des Boulets","Esplanade de la Défense",FALSE
"Buzenval","Esplanade de la Défense",FALSE
"Maraîchers","Esplanade de la Défense",FALSE
"Porte de Montreuil","Esplanade de la Défense",FALSE
"Robespierre","Esplanade de la Défense",FALSE
"Croix de Chavaux","Esplanade de la Défense",FALSE
"Mairie de Montreuil","Esplanade de la Défense",FALSE
